task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,f1_MEAN,f1_STD,metric,metric_MEAN,% of Training Data
boolq,10,1.0,0.0,[0],0.5926605504587156,,,,,,,,,,,,accuracy,0.5926605504587156,10
boolq,25,1.0,0.0,[0],0.6394495412844037,,,,,,,,,,,,accuracy,0.6394495412844037,25
boolq,50,1.0,0.0,[0],0.6828746177370031,,,,,,,,,,,,accuracy,0.6828746177370031,50
boolq,100,1.0,0.0,[0],0.7247706422018348,,,,,,,,,,,,accuracy,0.7247706422018348,100
cb,10,1.0,0.0,[0],0.375,,,,,,,,,,0.2397451214655515,,accuracy,0.375,10
cb,25,1.0,0.0,[0],0.6071428571428571,,,,,,,,,,0.3958503958503958,,accuracy,0.6071428571428571,25
cb,50,1.0,0.0,[0],0.6607142857142857,,,,,,,,,,0.4566375968992247,,accuracy,0.6607142857142857,50
cb,100,1.0,0.0,[0],0.7678571428571429,,,,,,,,,,0.535483870967742,,accuracy,0.7678571428571429,100
copa,10,1.0,0.0,[0],0.42,,,,,,,,,,,,accuracy,0.42,10
copa,25,1.0,0.0,[0],0.48,,,,,,,,,,,,accuracy,0.48,25
copa,50,1.0,0.0,[0],0.63,,,,,,,,,,,,accuracy,0.63,50
copa,100,1.0,0.0,[0],0.64,,,,,,,,,,,,accuracy,0.64,100
multirc,10,1.0,0.0,[0],,,,,,,,,,,0.5621096460791116,,f1,0.5621096460791116,10
multirc,25,1.0,0.0,[0],,,,,,,,,,,0.6016688625384277,,f1,0.6016688625384277,25
multirc,50,1.0,0.0,[0],,,,,,,,,,,0.62559456398641,,f1,0.62559456398641,50
multirc,100,1.0,0.0,[0],,,,,,,,,,,0.6290393979637007,,f1,0.6290393979637007,100
record,10,1.0,0.0,[0],,,,,,,,,,,0.1189990632600269,,f1,0.1189990632600269,10
record,25,1.0,0.0,[0],,,,,,,,,,,0.1298330229863952,,f1,0.1298330229863952,25
wic,10,1.0,0.0,[0],0.6347962382445141,,,,,,,,,,,,accuracy,0.6347962382445141,10
wic,25,1.0,0.0,[0],0.6520376175548589,,,,,,,,,,,,accuracy,0.6520376175548589,25
wic,50,1.0,0.0,[0],0.6818181818181818,,,,,,,,,,,,accuracy,0.6818181818181818,50
wic,100,1.0,0.0,[0],0.6786833855799373,,,,,,,,,,,,accuracy,0.6786833855799373,100
wsc,10,1.0,0.0,[0],0.3846153846153846,,,,,,,,,,,,accuracy,0.3846153846153846,10
wsc,25,1.0,0.0,[0],0.5480769230769231,,,,,,,,,,,,accuracy,0.5480769230769231,25
wsc,50,1.0,0.0,[0],0.5673076923076923,,,,,,,,,,,,accuracy,0.5673076923076923,50
wsc,100,1.0,0.0,[0],0.6346153846153846,,,,,,,,,,,,accuracy,0.6346153846153846,100
AVG,10,,,,,,,,,,,,,,,,,0.44116869752253607,10
AVG,25,,,,,,,,,,,,,,,,,0.5226012606548379,25
AVG,50,,,,,,,,,,,,,,,,,0.6413848902605955,50
AVG,100,,,,,,,,,,,,,,,,,0.6791609922030001,100
